        Time / ns                o2 [pw]/real
----------------------------------------------------------------------
                       0                               0
             0.065830022                               0
              0.13166004                               0
              0.19749007                               0
              0.26332009                               0
              0.32915011                               0
              0.39498013                               0
              0.46081015                               0
              0.52664018                               0
              0.59247023                               0
              0.65830022                               0
              0.72413027                               0
              0.78996027                               0
              0.85579032                               0
              0.92162031                               0
              0.98745036                               0
               1.0532804                               0
               1.1191103                               0
               1.1849405                               0
               1.2507704                               0
               1.3166004                               0
               1.3824306                               0
               1.4482605                               0
               1.5140905                               0
               1.5799205                               0
               1.6457506                               0
               1.7115806                               0
               1.7774106                               0
               1.8432406                               0
               1.9090707                               0
               1.9749007                               0
               2.0407307                               0
               2.1065607                               0
               2.1723907                               0
               2.2382207                               0
               2.3040507                               0
               2.3698809                               0
               2.4357109                               0
               2.5015409                               0
               2.5673709                               0
               2.6332009                               0
               2.6990311                               0
               2.7648611                               0
               2.8306911                               0
               2.8965211                               0
               2.9623511                               0
               3.0281811                               0
               3.0940111                               0
               3.1598411                               0
               3.2256711                               0
               3.2915013                               0
               3.3573313                               0
               3.4231613                               0
               3.4889913                               0
               3.5548213                               0
               3.6206512                               0
               3.6864812                               0
               3.7523115                               0
               3.8181415                               0
               3.8839715                               0
               3.9498014                               0
               4.0156312                               0
               4.0814614                               0
               4.1472912                               0
               4.2131214                               0
               4.2789516                               0
               4.3447814                               0
               4.4106116                               0
               4.4764414                               0
               4.5422716                               0
               4.6081014                               0
               4.6739316                               0
               4.7397618                               0
               4.8055921                               0
               4.8714218                               0
                4.937252                               0
               5.0030818                               0
                5.068912                               0
               5.1347418                               0
                5.200572                               0
               5.2664018                               0
                5.332232                               0
               5.3980622                               0
                5.463892                               0
               5.5297222                               0
                5.595552                               0
               5.6613822                               0
                5.727212                               0
               5.7930422                               0
               5.8588719                               0
               5.9247022                               0
               5.9905319                               0
               6.0563622                               0
               6.1221919                               0
               6.1880221                               0
               6.2538519                               0
               6.3196821                               0
               6.3855124                               0
               6.4513421                               0
               6.5171723                               0
               6.5830026                               0
               6.6488328                               0
               6.7146626                               0
               6.7804928                               0
               6.8463225                               0
               6.9121528                               0
               6.9779825                               0
               7.0438128                               0
               7.1096425                               0
               7.1754727                               0
               7.2413025                               0
               7.3071327                               0
               7.3729625                               0
               7.4387927                               0
               7.5046229                               0
               7.5704527                               0
               7.6362829                               0
               7.7021127                               0
               7.7679429                               0
               7.8337727                               0
               7.8996029                               0
               7.9654326                               0
               8.0312624                               0
               8.0970926                               0
               8.1629229                               0
               8.2287531                               0
               8.2945824                               0
               8.3604126                               0
               8.4262428                               0
               8.4920731                               0
               8.5579033                               0
               8.6237326                               0
               8.6895628                               0
                8.755393                               0
               8.8212233                               0
               8.8870525                               0
               8.9528828                               0
                9.018713                               0
               9.0845432                               0
               9.1503725                               0
               9.2162027                               0
                9.282033                               0
               9.3478632                               0
               9.4136934                               0
               9.4795237                               0
               9.5453539                               0
               9.6111841                               0
               9.6770134                               0
               9.7428436                               0
               9.8086739                               0
               9.8745041                               0
               9.9403343                               0
               10.006164                               0
               10.071994                               0
               10.137824                               0
               10.203654                               0
               10.269484                               0
               10.335314                               0
               10.401144                               0
               10.466974                               0
               10.532804                               0
               10.598634                               0
               10.664464                               0
               10.730294                               0
               10.796124                               0
               10.861954                               0
               10.927784                               0
               10.993614                               0
               11.059444                               0
               11.125274                               0
               11.191104                               0
               11.256934                               0
               11.322764                               0
               11.388594                               0
               11.454424                               0
               11.520254                               0
               11.586084                               0
               11.651914                               0
               11.717744                               0
               11.783574                               0
               11.849404                               0
               11.915235                               0
               11.981064                               0
               12.046894                               0
               12.112724                               0
               12.178555                               0
               12.244384                               0
               12.310214                               0
               12.376044                               0
               12.441875                               0
               12.507704                               0
               12.573534                               0
               12.639364                               0
               12.705194                               0
               12.771025                               0
               12.836854                               0
               12.902684                               0
               12.968514                               0
               13.034345                               0
               13.100174                               0
               13.166005                               0
               13.231835                  4.7659129e-037
               13.297666                  1.6516099e-035
               13.363495                  3.1457152e-034
               13.429325                  5.4836106e-033
               13.495155                  8.4873895e-032
               13.560986                  1.1719407e-030
               13.626815                  1.4499458e-029
               13.692645                  1.6135443e-028
               13.758475                  1.6207498e-027
               13.824306                  1.4741624e-026
               13.890135                  1.2176797e-025
               13.955965                  9.1585785e-025
               14.021795                  6.2874064e-024
