        Time / ns                Plane wave/real
----------------------------------------------------------------------
                       0                  1.3182567e-006
              0.14043737                  1.4539708e-006
              0.28087475                  1.5745651e-006
              0.42131212                  1.6725736e-006
               0.5617495                  1.7395612e-006
              0.70218687                   1.766184e-006
              0.84262424                  1.7422932e-006
              0.98306162                  1.6570883e-006
                1.123499                  1.4993253e-006
               1.2639364                  1.2575856e-006
               1.4043737                   9.206085e-007
               1.5448111                  4.7769017e-007
               1.6852485                 -8.0848851e-008
               1.8256859                 -7.6312999e-007
               1.9661232                 -1.5751195e-006
               2.1065606                 -2.5199744e-006
                2.246998                 -3.5973407e-006
               2.3874354                 -4.8026174e-006
               2.5278727                 -6.1262022e-006
               2.6683101                 -7.5527408e-006
               2.8087475                  -9.060403e-006
               2.9491848                 -1.0620217e-005
               3.0896222                 -1.2195491e-005
               3.2300596                 -1.3741365e-005
                3.370497                 -1.5204522e-005
               3.5109343                 -1.6523116e-005
               3.6513717                 -1.7626945e-005
               3.7918091                 -1.8437921e-005
               3.9322465                 -1.8870885e-005
               4.0726838                 -1.8834799e-005
               4.2131212                  -1.823435e-005
               4.3535586                 -1.6972017e-005
                4.493996                  -1.495059e-005
               4.6344333                 -1.2076187e-005
               4.7748707                 -8.2617379e-006
               4.9153081                 -3.4309414e-006
               5.0557455                  2.4773553e-006
               5.1961828                  9.5044008e-006
               5.3366202                  1.7666486e-005
               5.4770576                  2.6949695e-005
                5.617495                  3.7304575e-005
               5.7579323                  4.8640894e-005
               5.8983697                  6.0822631e-005
               6.0388071                  7.3663427e-005
               6.1792444                  8.6922689e-005
               6.3196818                    0.0001003026
               6.4601192                    0.0001134463
               6.6005566                   0.00012593744
               6.7409939                   0.00013730146
               6.8814313                   0.00014700878
               7.0218687                   0.00015448019
               7.1623061                   0.00015909462
               7.3027434                   0.00016019954
               7.4431808                   0.00015712405
               7.5836182                   0.00014919481
               7.7240556                   0.00013575477
               7.8644929                   0.00011618471
               8.0049303                  8.9927321e-005
               8.1453677                  5.6513588e-005
               8.2858051                  1.5591186e-005
               8.4262424                 -3.3045758e-005
               8.5666798                 -8.9426061e-005
               8.7071172                  -0.00015337084
               8.8475545                  -0.00022446369
               8.9879919                  -0.00030202267
               9.1284293                  -0.00038507521
               9.2688667                  -0.00047233716
                9.409304                   -0.0005621971
               9.5497414                  -0.00065270742
               9.6901788                   -0.0007415833
               9.8306162                  -0.00082621094
               9.9710535                  -0.00090366624
               10.111491                  -0.00097074503
               10.251928                   -0.0010240057
               10.392366                   -0.0010598253
               10.532803                   -0.0010744684
                10.67324                    -0.001064171
               10.813678                   -0.0010252368
               10.954115                   -0.0009541463
               11.094553                  -0.00084767841
                11.23499                    -0.000703041
               11.375427                  -0.00051800982
               11.515865                  -0.00029107235
               11.656302                 -2.1573602e-005
               11.796739                   0.00029014007
               11.937177                   0.00064258313
               12.077614                    0.0010330038
               12.218052                    0.0014572729
               12.358489                    0.0019097932
               12.498926                    0.0023834356
               12.639364                    0.0028695069
               12.779801                    0.0033577545
               12.920238                     0.003836413
               13.060676                    0.0042922969
               13.201113                    0.0047109444
               13.341551                    0.0050768125
               13.481988                    0.0053735283
               13.622425                    0.0055841948
               13.762863                    0.0056917511
                 13.9033                    0.0056793845
               14.043737                    0.0055309902
               14.184175                    0.0052316722
               14.324612                    0.0047682781
               14.465049                    0.0041299564
               14.605487                    0.0033087274
               14.745924                    0.0023000503
               14.886362                    0.0011033749
               15.026799                  -0.00027734062
               15.167236                   -0.0018331634
               15.307674                   -0.0035497884
               15.448111                   -0.0054072294
               15.588548                   -0.0073796171
               15.728986                   -0.0094351213
               15.869423                    -0.011536015
               16.009861                    -0.013638896
               16.150298                    -0.015695073
               16.290735                    -0.017651136
               16.431173                    -0.019449705
                16.57161                     -0.02103037
               16.712047                    -0.022330808
               16.852485                    -0.023288074
               16.992922                    -0.023840061
                17.13336                     -0.02392709
               17.273797                    -0.023493621
               17.414234                     -0.02249005
               17.554672                    -0.020874551
               17.695109                     -0.01861493
               17.835546                    -0.015690432
               17.975984                    -0.012093466
               18.116421                   -0.0078311884
               18.256859                   -0.0029268842
               18.397296                    0.0025788949
               18.537733                    0.0086275014
               18.678171                     0.015141716
               18.818608                     0.022025678
               18.959045                     0.029165253
               19.099483                     0.036428888
                19.23992                     0.043668965
               19.380358                     0.050723673
               19.520795                     0.057419406
               19.661232                     0.063573667
                19.80167                     0.068998461
               19.942107                     0.073504145
               20.082544                     0.076903664
               20.222982                     0.079017117
               20.363419                     0.079676576
               20.503857                     0.078731048
               20.644294                     0.076051476
               20.784731                     0.071535673
               20.925169                     0.065113048
               21.065606                     0.056748988
               21.206043                     0.046448785
               21.346481                     0.034260945
               21.486918                     0.020279765
               21.627356                    0.0046470529
               21.767793                    -0.012447126
                21.90823                    -0.030764767
               22.048668                    -0.050021394
               22.189105                    -0.069888716
               22.329542                    -0.089998527
                22.46998                     -0.10994783
               22.610417                     -0.12930516
               22.750855                     -0.14761805
               22.891292                     -0.16442159
               23.031729                     -0.17924781
               23.172167                     -0.19163595
               23.312604                     -0.20114323
               23.453041                     -0.20735603
               23.593479                     -0.20990114
               23.733916                     -0.20845698
               23.874354                      -0.2027643
               24.014791                     -0.19263629
               24.155228                     -0.17796767
               24.295666                     -0.15874255
               24.436103                     -0.13504077
                24.57654                      -0.1070425
               24.716978                      -0.0750308
               24.857415                    -0.039392126
               24.997853                  -0.00061439821
                25.13829                     0.040717264
               25.278727                     0.083927287
               25.419165                      0.12825883
               25.559602                      0.17288538
               25.700039                      0.21692451
               25.840477                      0.25945383
               25.980914                      0.29952861
               26.121352                      0.33620096
               26.261789                      0.36854015
               26.402226                      0.39565367
               26.542664                      0.41670847
               26.683101                      0.43095218
               26.823538                      0.43773343
               26.963976                      0.43652115
               27.104413                      0.42692207
               27.244851                      0.40869603
               27.385288                      0.38176871
               27.525725                      0.34624125
               27.666163                      0.30239643
                 27.8066                      0.25070116
               27.947037                      0.19180499
               28.087475                       0.1265346
               28.227912                     0.055883982
               28.368349                    -0.018999282
               28.508787                     -0.09683185
               28.649224                      -0.1762161
               28.789662                       -0.255665
               28.930099                     -0.33362997
               29.070536                      -0.4085311
               29.210974                     -0.47878929
               29.351411                     -0.54285954
               29.491848                     -0.59926471
               29.632286                     -0.64662902
               29.772723                     -0.68371052
               29.913161                     -0.70943172
               30.053598                     -0.72290775
               30.194035                     -0.72347114
               30.334473                     -0.71069277
                30.47491                     -0.68439824
               30.615347                      -0.6446792
               30.755785                     -0.59189934
               30.896222                     -0.52669454
                31.03666                     -0.44996724
               31.177097                     -0.36287487
               31.317534                     -0.26681243
               31.457972                     -0.16338958
               31.598409                    -0.054402481
               31.738846                     0.058199028
               31.879284                       0.1723483
               32.019721                      0.28590212
               32.160159                      0.39668337
               32.300596                      0.50252542
               32.441033                      0.60131706
               32.581471                      0.69104714
               32.721908                       0.7698479
               32.862345                      0.83603594
               33.002783                      0.88814995
                33.14322                       0.9249843
               33.283658                      0.94561762
               33.424095                      0.94943576
               33.564532                      0.93614848
                33.70497                      0.90579947
               33.845407                       0.8587693
               33.985844                       0.7957713
               34.126282                      0.71784026
               34.266719                      0.62631423
               34.407157                      0.52280963
               34.547594                      0.40919032
               34.688031                      0.28753116
               34.828469                      0.16007685
               34.968906                     0.029196951
               35.109343                     -0.10266198
               35.249781                     -0.23302604
               35.390218                     -0.35944442
               35.530656                     -0.47953944
               35.671093                     -0.59105514
                35.81153                      -0.6919033
               35.951968                     -0.78020598
               36.092405                     -0.85433347
               36.232842                     -0.91293709
                36.37328                     -0.95497581
               36.513717                      -0.9797364
               36.654155                     -0.98684651
               36.794592                     -0.97628056
               36.935029                     -0.94835818
               37.075467                     -0.90373547
               37.215904                     -0.84338914
               37.356341                     -0.76859406
               37.496779                     -0.68089468
               37.637216                     -0.58207107
               37.777654                     -0.47410024
               37.918091                     -0.35911385
               38.058528                     -0.23935307
               38.198966                     -0.11712167
               38.339403                      0.00526149
                38.47984                      0.12550977
               38.620278                      0.24141458
               38.760715                       0.3508889
               38.901153                      0.45200753
                39.04159                       0.5430433
               39.182027                       0.6224984
               39.322465                       0.6891303
               39.462902                      0.74197192
               39.603339                      0.78034546
               39.743777                      0.80386991
               39.884214                      0.81246218
               40.024652                      0.80633193
               40.165089                      0.78597031
               40.305526                      0.75213309
               40.445964                      0.70581868
               40.586401                      0.64824149
               40.726838                      0.58080155
               40.867276                      0.50505098
               41.007713                      0.42265823
               41.148151                       0.3353708
               41.288588                      0.24497752
               41.429025                      0.15327098
               41.569463                     0.062011054
                 41.7099                    -0.027109727
               41.850337                     -0.11249826
               41.990775                     -0.19268982
               42.131212                     -0.26637336
                42.27165                     -0.33241266
               42.412087                     -0.38986305
               42.552524                     -0.43798357
               42.692962                     -0.47624427
               42.833399                     -0.50432893
               42.973836                     -0.52213303
               43.114274                     -0.52975748
               43.254711                     -0.52749815
               43.395148                     -0.51583178
               43.535586                     -0.49539861
               43.676023                     -0.46698238
               43.816461                     -0.43148799
               43.956898                     -0.38991776
               44.097335                     -0.34334656
               44.237773                     -0.29289656
                44.37821                     -0.23971215
               44.518647                     -0.18493552
               44.659085                     -0.12968349
               44.799522                    -0.075025925
                44.93996                    -0.021966254
               45.080397                     0.028575685
               45.220834                     0.075778141
               45.361272                      0.11892915
               45.501709                      0.15743529
               45.642146                      0.19082747
               45.782584                      0.21876378
               45.923021                      0.24102947
               46.063459                      0.25753425
               46.203896                      0.26830708
               46.344333                      0.27348875
               46.484771                      0.27332245
               46.625208                      0.26814275
               46.765645                      0.25836327
               46.906083                       0.2444634
                47.04652                      0.22697437
               47.186958                      0.20646511
               47.327395                      0.18352817
               47.467832                      0.15876597
                47.60827                      0.13277775
               47.748707                      0.10614737
               47.889144                     0.079432261
               48.029582                     0.053153656
               48.170019                     0.027788206
               48.310457                    0.0037611446
               48.450894                    -0.018559006
